koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_model_snr
CONFIRMED,9.48803557,0.146,2.9575,6.16E+02,2.26,35.8
CONFIRMED,54.4183827,0.586,4.507,8.75E+02,2.83,25.8
CANDIDATE,19.89913995,0.969,1.7822,1.08E+04,14.6,76.3
FALSE POSITIVE,1.736952453,1.276,2.40641,8.08E+03,33.46,505.6
CONFIRMED,2.525591777,0.701,1.6545,6.03E+02,2.75,40.9
CONFIRMED,11.09432054,0.538,4.5945,1.52E+03,3.9,66.5
CONFIRMED,4.13443512,0.762,3.1402,6.86E+02,2.77,40.2
CONFIRMED,2.56658897,0.755,2.429,2.27E+02,1.59,15
FALSE POSITIVE,7.36178958,1.169,5.022,2.34E+02,39.21,47.7
CONFIRMED,16.06864674,0.052,3.5347,4.91E+03,5.76,161.9
CONFIRMED,2.470613377,0.818,1.74319,1.42E+04,13.04,4304.3
CONFIRMED,2.204735417,0.224,3.88864,6.67E+03,16.1,5945.9
CONFIRMED,3.522498429,0.631,3.19843,9.15E+03,14.59,1741.5
CONFIRMED,3.709214104,0.051,2.6302,1.31E+02,1.16,50.6
FALSE POSITIVE,11.52144606,2.483,3.6399,1.80E+04,150.51,622.1
FALSE POSITIVE,19.40393776,0.804,12.2155,8.92E+03,7.18,214.7
FALSE POSITIVE,19.22138894,1.065,4.79843,7.43E+04,49.29,2317
FALSE POSITIVE,16.46983774,0.292,9.4378,1.05E+04,7.94,303.4
CONFIRMED,9.27358173,0.387,3.2875,1.29E+03,2.47,87.2
CONFIRMED,6.02930329,0.258,1.5821,1.91E+03,2.85,65.4
FALSE POSITIVE,2.696370652,0.044,3.6129,3.98E+02,1.58,48.2
CONFIRMED,5.349553819,0.092,3.0278,8.31E+02,2.55,60.6
CONFIRMED,3.94105221,0.226,2.5984,3.63E+02,1.7,28.9
CONFIRMED,8.10904807,0.025,3.596,2.17E+02,1.3,14.1
FALSE POSITIVE,386.6030528,0.9765,6.8057,2.49E+04,41.5,994
CONFIRMED,21.67699193,0.896,3.4555,8.57E+02,2.95,34.3
CONFIRMED,4.99677968,0.71,2.1717,9.35E+02,2.78,28.2
CONFIRMED,4.280963604,0.424,2.875,7.51E+02,2.3,61.8
FALSE POSITIVE,1.50635409,0.86,1.5155,2.21E+03,4.53,181.1
FALSE POSITIVE,670.645531,0.701,53.412,1.81E+04,14.14,642.7
FALSE POSITIVE,61.2563628,1.248,7.633,5.12E+03,39.87,85.3
CONFIRMED,38.3775486,0.468,5.588,7.24E+02,2.82,34.7
CONFIRMED,41.19725502,0.045,4.6297,2.21E+03,3.86,51.2
CONFIRMED,6.252962249,0.105,2.5819,1.04E+03,2.65,47.1
CONFIRMED,16.01308419,0.799,3.2554,1.12E+03,3.1,33.2
CONFIRMED,32.62876672,0.021,4.7971,1.80E+03,3.36,80
CONFIRMED,91.7732862,0.606,6.473,6.52E+02,2.12,19.1
CANDIDATE,4.959319244,0.831,2.22739,9.80E+03,12.21,696.5
FALSE POSITIVE,2.701287801,1.016,3.3827,8.60E+02,6.54,48.3
CONFIRMED,4.49876511,0.312,3.7362,4.60E+02,2.1,29.5
FALSE POSITIVE,19.65120951,0.723,5.2514,1.18E+04,12.42,513.4
CONFIRMED,5.412203927,0.787,2.9472,6.02E+02,2.94,166.7
CONFIRMED,41.43958662,0.355,10.5989,2.79E+03,5.5,141.1
CONFIRMED,8.35389523,0.023,2.2514,1.04E+03,2.52,43.4
CONFIRMED,4.125543472,0.597,3.1744,1.49E+03,4.43,128.6
CONFIRMED,2.816504904,0.105,2.50587,1.68E+04,12.21,1406.8
FALSE POSITIVE,33.93373447,0.812,14.561,8.50E+03,7.34,236.1
CONFIRMED,3.689920099,0.151,2.6557,4.27E+02,1.89,35.6
CONFIRMED,4.431238488,0.405,3.15,1.01E+03,3.25,71.1
CONFIRMED,11.37936986,0.911,2.6255,1.02E+03,3.95,37.9
CONFIRMED,26.39432897,0.602,3.573,1.51E+03,3.07,48.2
CONFIRMED,13.57078281,0.866,3.3539,5.12E+02,2.64,88.4
CONFIRMED,7.12594387,0.898,3.0014,1.92E+02,1.79,47.1
FALSE POSITIVE,7.442652004,0.137,2.3078,2.44E+04,15.03,835.6
CONFIRMED,16.38489988,0.001,3.0249,1.13E+03,2,28.9
